datetime,open,high,low,close,volume
2023-01-03 03:00:00,120.02,121.23,115.94,118.55,137929
2023-01-03 03:01:00,118.51,119.38,118.49,119.38,60225
2023-01-03 03:02:00,119.2,120.2,119.09,120.01,72783
2023-01-03 03:03:00,120.05,120.15,119.53,119.72,65637
2023-01-03 03:04:00,119.74,119.8,119.25,119.29,27340
2023-01-03 03:05:00,119.2,119.72,119.09,119.12,34911
2023-01-03 03:06:00,119.1,119.4,118.7,119,53239
2023-01-03 03:07:00,118.92,118.95,117.75,117.8,49435
2023-01-03 03:08:00,117.7,117.8,116.88,117.5,69794
2023-01-03 03:09:00,117.5,118.2,117.5,118.19,24699
2023-01-03 03:10:00,118.2,118.5,117.77,118.4,38481
2023-01-03 03:11:00,118.26,119.2,118.22,118.42,29361
2023-01-03 03:12:00,118.49,118.58,118.45,118.5,13701
2023-01-03 03:13:00,118.51,118.75,118.45,118.7,10992
2023-01-03 03:14:00,118.74,118.98,118.5,118.71,21758
2023-01-03 03:15:00,118.7,118.88,118.57,118.57,12678
2023-01-03 03:16:00,118.58,118.88,118.55,118.82,14595
2023-01-03 03:17:00,118.8,118.82,118.2,118.4,28973
2023-01-03 03:18:00,118.45,118.7,118.3,118.58,12408
2023-01-03 03:19:00,118.55,118.6,118.35,118.35,8034
2023-01-03 03:20:00,118.39,118.6,118.34,118.6,16543
2023-01-03 03:21:00,118.59,118.9,118.58,118.69,23390
2023-01-03 03:22:00,118.68,119,118.68,118.99,25846
2023-01-03 03:23:00,118.99,119,118.61,118.69,19140
2023-01-03 03:24:00,118.74,119,118.72,118.72,17555
2023-01-03 03:25:00,118.7,118.7,118.46,118.49,11782
2023-01-03 03:26:00,118.42,118.69,118.36,118.69,12686
2023-01-03 03:27:00,118.66,118.66,118.52,118.59,7052
2023-01-03 03:28:00,118.55,118.55,117.83,118,30308
2023-01-03 03:29:00,118.11,118.35,118.11,118.35,9161
2023-01-03 03:30:00,118.38,118.68,118.3,118.6,12815
2023-01-03 03:31:00,118.45,118.6,118.4,118.54,10196
2023-01-03 03:32:00,118.6,118.83,118.56,118.8,13562
2023-01-03 03:33:00,118.83,119,118.8,118.95,16033
2023-01-03 03:34:00,118.95,118.95,118.59,118.78,10083
2023-01-03 03:35:00,118.71,118.78,118.62,118.67,6127
2023-01-03 03:36:00,118.64,118.69,118.6,118.69,9787
2023-01-03 03:37:00,118.69,118.69,118.5,118.57,8759
2023-01-03 03:38:00,118.57,118.6,118.27,118.27,16753
2023-01-03 03:39:00,118.25,118.52,118.24,118.35,9654
2023-01-03 03:40:00,118.38,118.41,118.29,118.3,5820
2023-01-03 03:41:00,118.26,118.33,118.2,118.2,7445
2023-01-03 03:42:00,118.2,118.28,118.12,118.15,13811
2023-01-03 03:43:00,118.2,118.2,117.9,118.15,28791
2023-01-03 03:44:00,118.06,118.15,118,118.15,5665
2023-01-03 03:45:00,118.15,118.21,118.07,118.07,11559
2023-01-03 03:46:00,118.01,118.24,117.99,118.2,15699
2023-01-03 03:47:00,118.19,118.22,118.1,118.1,14063
2023-01-03 03:48:00,118.07,118.14,118.06,118.14,3613
2023-01-03 03:49:00,118.2,118.29,118.11,118.11,6881
2023-01-03 03:50:00,118.22,118.29,118.12,118.18,8057
2023-01-03 03:51:00,118.21,118.21,118.15,118.16,2920
2023-01-03 03:52:00,118.17,118.25,118.17,118.18,4177
2023-01-03 03:53:00,118.18,118.19,118.14,118.14,5262
2023-01-03 03:54:00,118.13,118.2,118.12,118.12,13103
2023-01-03 03:55:00,118.1,118.12,118,118.12,33279
2023-01-03 03:56:00,118.12,118.56,118.12,118.33,25296
2023-01-03 03:57:00,118.29,118.37,118.2,118.37,11155
2023-01-03 03:58:00,118.3,118.3,118.22,118.3,8736
2023-01-03 03:59:00,118.3,118.53,118.3,118.52,7169
2023-01-03 04:00:00,118.53,118.54,118.4,118.48,6459
2023-01-03 04:01:00,118.4,118.6,118.4,118.44,7058
2023-01-03 04:02:00,118.43,118.6,118.42,118.6,19105
2023-01-03 04:03:00,118.55,118.6,118.5,118.51,5693
2023-01-03 04:04:00,118.56,118.56,118.48,118.48,4954
2023-01-03 04:05:00,118.43,118.5,118.4,118.5,6060
2023-01-03 04:06:00,118.45,118.83,118.45,118.83,10928
2023-01-03 04:07:00,118.9,118.9,118.8,118.82,12617
2023-01-03 04:08:00,118.89,118.89,118.65,118.7,7700
2023-01-03 04:09:00,118.71,118.71,118.66,118.7,5609
2023-01-03 04:10:00,118.8,118.86,118.8,118.83,4510
2023-01-03 04:11:00,118.9,118.95,118.8,118.8,10125
2023-01-03 04:12:00,118.8,118.8,118.7,118.7,4887
2023-01-03 04:13:00,118.65,118.65,118.6,118.62,8404
2023-01-03 04:14:00,118.67,118.75,118.67,118.7,4988
2023-01-03 04:15:00,118.73,118.9,118.73,118.85,6923
2023-01-03 04:16:00,118.81,118.9,118.76,118.8,5611
2023-01-03 04:17:00,118.75,118.75,118.64,118.64,4051
2023-01-03 04:18:00,118.7,118.75,118.66,118.68,4410
2023-01-03 04:19:00,118.68,118.77,118.65,118.67,3129
2023-01-03 04:20:00,118.65,118.71,118.55,118.71,7461
2023-01-03 04:21:00,118.65,118.65,118.41,118.41,8454
2023-01-03 04:22:00,118.44,118.47,118.3,118.47,9017
2023-01-03 04:23:00,118.32,118.44,118.2,118.44,10650
2023-01-03 04:24:00,118.41,118.65,118.35,118.43,11395
2023-01-03 04:25:00,118.44,118.65,118.44,118.65,2813
2023-01-03 04:26:00,118.58,118.6,118.58,118.6,2333
2023-01-03 04:27:00,118.52,118.75,118.52,118.75,5451
2023-01-03 04:28:00,118.69,118.7,118.69,118.7,982
2023-01-03 04:29:00,118.68,118.7,118.66,118.69,1484
2023-01-03 04:30:00,118.69,118.7,118.69,118.7,1053
2023-01-03 04:31:00,118.6,118.6,118.51,118.51,2710
2023-01-03 04:32:00,118.54,118.54,118.41,118.45,5073
2023-01-03 04:33:00,118.5,118.65,118.5,118.65,3572
2023-01-03 04:34:00,118.65,118.65,118.55,118.55,2205
2023-01-03 04:35:00,118.65,118.65,118.62,118.62,1264
2023-01-03 04:36:00,118.62,118.62,118.6,118.6,2151
2023-01-03 04:37:00,118.5,118.6,118.5,118.6,1735
2023-01-03 04:38:00,118.7,118.9,118.59,118.9,19475
2023-01-03 04:39:00,118.9,119,118.85,118.85,36097
2023-01-03 04:40:00,118.85,118.9,118.85,118.9,3739
2023-01-03 04:41:00,118.85,118.85,118.75,118.83,5932
2023-01-03 04:42:00,118.75,119,118.75,119,10179
